id,commit,build,exec_time,comment,fix,lastFix
228,57c8aaf9,SUCCESS,14,"Duraton.toPeriod(), new Period(long), new MutablePeriod(long) [3264409] Fixed to obey Javadoc. Previously, they didn't obey the Javadoc if the default time-zone had no daylight savings.",{'lastFix': None},
229,14dedcbc,SUCCESS,14,"DateTimeZone.forTimeZone [3216471] Time-zone ID ""MET"" from java.util.TimeZone is now mapped correctly. Other time-zone conversions have been updated appropriately",{'lastFix': None},
230,bfd37a81,SUCCESS,13,Javadoc withMaximumValue/withMinimumValue,{'lastFix': None},
231,58620f64,SUCCESS,14,Add DateTime.withEarlierOffsetAtOverlap() .withLaterOffsetAtOverlap() [3192457] Allow fine grained control of the offset during a DST overlap reported by Hood Wilson Gusso Silva,{'lastFix': None},
232,d50efdf7,SUCCESS,13,"Conversion from parsed values to a date-time handles weird sets of fields better [3161586] This change is mostly for combinations like weekyear-month-week The new code doesn't handle all combinations perfectly, but its better than it was",{'lastFix': None},
233,c3bec2cd,SUCCESS,14,"Remove OSGi BundleExecutionEnvironment [3175068,3175612]",{'lastFix': None},
234,5bb92d13,SUCCESS,14,DateTimeZone.getMillisKeepLocal The behaviour now retains the offset when changing zones where possible This affects DateTime.withZoneRetainFields and MutableDateTime.setZoneRetainFields,{'lastFix': None},
235,bbbbbbfb,SUCCESS,14,Standard DateTimeFieldType hashCode and equals for stability across serialization,{'lastFix': None},
236,83c41421,SUCCESS,14,Fix ant build to handle joda-convert,{'lastFix': None},
237,65727d7e,SUCCESS,14,"Handle broken serialization in other tools [3117678] Some tools can't handle the joda-time stub serialization, kludge a fix for them Also add final to some variables",{'lastFix': None},
238,1194c698,SUCCESS,14,Fix ant file now joda-convert needed for compilation,{'lastFix': None},
239,301d885b,SUCCESS,13,Test period calculation during overlap,{'lastFix': None},
240,bb9410f0,SUCCESS,14,Test LocalDate Buddhist serialisation,{'lastFix': None},
241,856d11f5,SUCCESS,13,Test serialization of Local* classes,{'lastFix': None},
242,552be4b6,SUCCESS,15,"DateTimeZone.getOffsetFromLocal [2952991] The behaviour during DST overlaps is now defined to always return the earlier instant which is normally known as daylight or summer time. Previously, the result varied by hemisphere. This affects the constructor of DateTime and other methods",{'lastFix': None},
243,c7a581e5,SUCCESS,14,"DateTimeZone.convertLocalToUTC [bugs 3102760,2182444,2553453] New method now retains the offset wherever possible during calculations This affects higher methods like withHourOfDay/withMinuteOfHour/withSecondOfMinute/withMillisOfSecond which now do not change offset when called within a DST overlap",{'lastFix': None},
244,218a7fe9,SUCCESS,14,Add FromString and ToString to DateTimeZone,{'lastFix': None},
245,ddcbe0ed,SUCCESS,17,Upgrade to joda-convert 1.1 Move toolchain to profile,{'lastFix': None},
246,bf313539,FAIL,4,Add JodaConvert @FromString and @ToSTring,{'lastFix': None},
247,843d7b8f,FAIL,1,Parse month-day in year 2000 instead of 1970 to parse Feb 29,{'lastFix': None},
248,e1225752,FAIL,2,Add static parse methods to period/duration/interval classes,{'lastFix': None},
249,91e4b345,FAIL,1,Add static parse methods to date-time classes,{'lastFix': None},
250,8672850d,FAIL,2,MonthDay and YearMonth should have stricter default parsing,{'lastFix': None},
251,73cf859d,FAIL,2,Javadoc,{'lastFix': None},
252,91aaddb9,FAIL,1,Prepare for v2.0,{'lastFix': None},
253,eb80d4de,FAIL,2,Prepare for v2.0,{'lastFix': None},
254,0ed6d155,FAIL,2,Extra test for deserialization,{'lastFix': None},
